time_sec,cpu_percent,memory_rss_mb,gpu_mem_used_mb,gpu_util_percent
0,0.0,3.390625,2694.875,0
0.2,104.3,71.625,2694.875,0
0.4,99.3,117.60546875,2694.875,0
0.6000000000000001,2702.7,161.94921875,2694.875,0
0.8,99.5,180.6171875,2694.875,0
1.0,99.3,211.2109375,2694.875,0
1.2,79.4,232.1171875,2694.875,0
1.4,74.5,239.48828125,2694.875,0
1.5999999999999999,99.3,254.1015625,2694.875,0
1.7999999999999998,104.3,265.10546875,2694.875,0
1.9999999999999998,2113.0,282.30859375,2694.875,0
2.1999999999999997,696.4,296.65234375,2694.875,0
2.4,104.3,453.93359375,2694.875,0
2.6,2458.3,813.30078125,2694.875,0
2.8000000000000003,99.2,937.90625,3160.4375,0
3.0000000000000004,99.3,1106.11328125,3224.4375,9
3.2000000000000006,99.3,1272.171875,3280.4375,7
3.400000000000001,99.4,1440.828125,3340.4375,7
3.600000000000001,99.3,1616.5546875,3410.4375,7
3.800000000000001,99.4,1824.51171875,3456.4375,7
4.000000000000001,99.4,1878.04296875,3516.4375,7
4.200000000000001,104.2,2053.44140625,3586.4375,7
4.400000000000001,99.2,2076.51171875,3770.4375,7
4.600000000000001,99.2,2060.8828125,4056.4375,11
4.800000000000002,99.4,2082.83203125,4180.4375,12
5.000000000000002,99.4,2207.94140625,4236.4375,11
5.200000000000002,99.3,2361.35546875,4280.4375,5
5.400000000000002,99.4,2512.8984375,4330.4375,5
5.600000000000002,104.3,2660.88671875,4382.4375,4
5.8000000000000025,99.4,2792.984375,4460.4375,5
6.000000000000003,94.4,2817.921875,4480.4375,5
6.200000000000003,104.3,2819.46875,4570.4375,5
6.400000000000003,99.3,2819.67578125,4572.4375,6
6.600000000000003,99.4,2819.67578125,4572.4375,5
6.800000000000003,99.4,2867.43359375,4606.4375,6
7.0000000000000036,104.1,2991.87890625,5016.4375,5
7.200000000000004,99.2,2936.375,10266.4375,21
7.400000000000004,99.2,2936.21875,10266.4375,0
7.600000000000004,104.3,2941.796875,10266.4375,0
7.800000000000004,114.3,0.0,10266.4375,0
8.000000000000004,89.4,0.0,2694.875,0
8.200000000000003,0.0,0.0,2694.875,45
8.400000000000002,0.0,0.0,2694.875,24
8.600000000000001,0.0,0.0,2694.875,0
8.8,0.0,0.0,2694.875,0
9.0,0.0,0.0,2694.875,0
9.2,0.0,0.0,2694.875,0
9.399999999999999,0.0,0.0,2694.875,0
9.599999999999998,0.0,0.0,2694.875,0
9.799999999999997,0.0,0.0,2694.875,0
9.999999999999996,0.0,0.0,2694.875,0
10.199999999999996,0.0,0.0,2694.875,0
10.399999999999995,0.0,0.0,2694.875,0
10.599999999999994,0.0,0.0,2694.875,0
10.799999999999994,0.0,0.0,2694.875,0
10.999999999999993,0.0,0.0,2694.875,0
11.199999999999992,0.0,0.0,2694.875,0
11.399999999999991,0.0,0.0,2694.875,0
11.59999999999999,0.0,0.0,2694.875,0
11.79999999999999,0.0,0.0,2694.875,0
11.99999999999999,0.0,0.0,2694.875,0
12.199999999999989,0.0,0.0,2694.875,0
12.399999999999988,0.0,0.0,2694.875,0
12.599999999999987,0.0,0.0,2694.875,0
12.799999999999986,0.0,0.0,2694.875,0
12.999999999999986,0.0,0.0,2694.875,0
13.199999999999985,0.0,0.0,2694.875,0
13.399999999999984,0.0,0.0,2694.875,0
13.599999999999984,0.0,0.0,2694.875,0
13.799999999999983,0.0,0.0,2694.875,0
13.999999999999982,0.0,0.0,2694.875,0
14.199999999999982,0.0,0.0,2694.875,0
14.39999999999998,0.0,0.0,2694.875,0
14.59999999999998,0.0,0.0,2694.875,0
14.79999999999998,0.0,0.0,2694.875,0
14.999999999999979,0.0,0.0,2694.875,0
15.199999999999978,0.0,0.0,2694.875,0
15.399999999999977,0.0,0.0,2694.875,0
15.599999999999977,0.0,0.0,2694.875,0
15.799999999999976,0.0,0.0,2694.875,0
15.999999999999975,0.0,0.0,2694.875,0
16.199999999999974,0.0,0.0,2694.875,0
16.399999999999974,0.0,0.0,2694.875,0
